name,id
designated-historic-sites-yukon,c6cd3917-a9df-4472-9671-499b18a3a180
yukon-air-photo-locator,904da44a-cfe2-4174-b2e1-af5c2dc3fc87
yukon-snow-survey-network,24cfd190-84c8-4847-ac68-e5d878fad7cf
housing-tenure-condition-period-construction-and-structural-type-census-2006,0b86f35e-5be2-403e-8f78-9c8f20d06d2d
place-employment-census-2006,6224768a-cb33-4e22-96c6-95be2b72694f
visible-minority-group-census-2006,d4c6a982-24ad-4fda-aeb1-0cc645983ada
language-used-work-census-2006,01c3621b-396c-4c54-9411-907e87ba06c4
housing-tenure-condition-period-construction-and-structural-type-national-household-survey,2f71864c-4221-44a8-a0d7-bea4f8352615
post-secondary-qualifications-major-field-study-census-2001,d48c276b-cc31-47b6-9665-31e4e861e515
non-census-family-income-2000-census-2001,a700955a-d3d4-4d74-904c-3b472fc3c46c
post-secondary-qualifications-major-field-study-national-household-survey-2011,0ddf5bf7-c128-4b60-a433-d8661a5b37ea
housing-and-shelter-costs-census-2006,40581cb1-c830-4dd5-a20e-ee1bf5f0d0e4
employment-income-census-2006,042f403b-3df7-4fdf-a11f-dac092eba0be
non-economic-family-income-2005-census-2006,b4fdbc54-9b93-460f-8b3a-327a63da4842
household-income-2000-census-2001,a1006214-02f9-497b-af5d-f0271417576c
highest-level-schooling-census-2001,7afa0b95-8148-4958-9c41-45f0a68e3ae1
aboriginal-population-census-2001,1dbdaa97-6b97-449d-988e-1add0be7baff
housing-and-shelter-costs-national-household-survey-2011,3bc59ba5-8c3d-454c-92ec-4715d5d78de5
post-secondary-qualifications-major-field-study-census-2006,6c060103-abea-41aa-9836-44d2b7bd7e07
school-attendance-census-2001,4f2ab413-2ee3-4e2a-8932-ef012a48b171
labour-force-participation-census-2006,6d18736d-fc92-4705-9c99-77b2bce276ec
religion-census-2001,be31cfe1-4468-4d0a-82c9-79d9e65a25dd
ethnic-origin-census-2006,5dfb0ee5-bd55-456b-a95a-e7b7e24972bb
individual-income-2000-census-2001,6de52dd2-67b7-4c1f-959e-9eb3f661ee21
labour-force-class-census-2006,48bea2f3-e726-4ba9-96ad-042c22d04522
post-secondary-qualification-location-study-census-2006,57b454c3-340f-4df2-8aa6-c4035baa4902
mobility-status-census-2001,176e8331-9520-428c-b5d8-978356c4fd6d
economic-family-total-and-after-tax-income-2010-national-household-survey-2011,18b3b057-ed39-4231-899c-abfec443d670
place-employment-census-2001,543315c8-e90d-4312-a452-0da3841ab398
population-sex-and-age-group-census-2011,15b61764-d5d7-410d-86c3-00b7631ec023
highest-certificate-diploma-or-degree-national-household-survey-2011,71dc1521-b65d-4cb2-85d7-4ae4eb28e4bd
religion-national-household-survey-2011,92a3ff15-e802-4764-b979-b7959033089f
household-income-2010-national-household-survey-2011,eb68c0b0-3f07-457b-9372-00f6ebe257a1
citizenship-census-2006,8b401b65-87a4-4951-a309-fb58de062004
individual-income-2005-census-2006,664e951a-2dbc-446d-917a-0be9293be491
immigration-census-2006,db60333f-2f15-4279-95dc-9879d4e54000
aboriginal-population-national-household-survey-2011,27f1c42f-2015-4a8b-b27f-e8d0f34c3fd1
citizenship-census-2001,1f98c59a-f045-4954-978a-24d580872146
employment-income-national-household-survey-2011,07cf9a99-5ad6-4be5-8efb-bed2ea61f363
language-used-work-national-household-survey-2011,5b741e32-7720-41bf-a581-cd56060b41fd
housing-and-shelter-costs-census-2001,dbb2afe2-aa41-44eb-8843-42b9b2381917
employed-labour-force-mode-transportation-national-household-survey-2011,9ee2e0b5-5f9e-4588-96c5-e24957c94d04
visible-minority-group-national-household-survey-2011,60f83043-4e51-462d-829b-6360283bcd64
economic-family-total-and-after-tax-income-2005-census-2006,27ddb954-2f3a-4c50-ac95-317a6bb0631f
mobility-status-national-household-survey-2011,cad586a2-5698-43ab-9de7-cc16e6170d7d
census-family-income-2000-census-2001,29bd6559-3374-4837-b03b-5347c92342cb
non-economic-family-income-2010-national-household-survey-2011,b11dd2a2-ae92-48df-b167-26bd2f322986
labour-force-participation-presence-children-census-2001,3148cdf0-5bb6-406c-b3f2-56769c6d07fb
employment-income-census-2001,551f73c0-503a-4675-84fa-5b8100067828
private-household-size-and-type-census-2011,8729fa89-3dc2-42d7-80a5-287958fa1e2e
mother-tongue-census-2006,d87dbf0a-6f5e-40c2-8284-7993a1659936
employed-labour-force-mode-transportation-census-2001,840ac524-6e7e-47da-bf25-e8fade14ae67
population-sex-and-age-group-census-2006,e12dcc1b-058f-47bc-8940-bc833ecbbc4c
labour-force-class-national-household-survey-2011,7e83d1cf-02dd-458d-a897-edc96329b37c
labour-force-class-census-2001-0,33a95139-efdf-4330-9d49-9cae395f1d7a
labour-force-participation-national-household-survey-2011,e6ee96fa-2422-40de-9548-9ec2008e7c6d
language-used-work-census-2001,bad6190d-1b22-45f2-a2b6-6f2b5b41ad0c
unpaid-work-census-2006,455238df-18a2-43ec-9567-e21c1573292d
private-household-size-and-type-census-2001-0,f936e3fa-3a24-4908-988a-3cdb27c6824d
labour-force-industry-census-2001,e176a99f-459f-4bf0-8449-542fda69c365
housing-tenure-condition-period-construction-and-structural-type-census-2001,b2b38a2b-d686-4b6d-b9f7-1c67efb6a9f5
language-census-2011,8fbb119a-45af-42b0-8481-8ef78c7f2c64
household-income-2005-census-2006,069c09cf-b662-4bc8-998f-4d73deb3753c
place-employment-national-household-survey-2011,bea425b2-e465-4b46-8f21-17cdaaff6354
marital-status-and-census-family-structure-census-2011,6244b88f-53d7-41d6-ad42-09469944c55b
mobility-status-census-2006,96e5f4b6-ed13-499b-bd6c-ede3ec39f112
visible-minority-group-census-2001,13aa1c48-bf6c-4edf-9f4d-d399d41d2d20
labour-force-occupation-national-household-survey-2011,cb921469-56ce-40c9-8b0d-2a27c672868f
labour-force-occupation-census-2001,1ff0cb3e-45d1-4417-927e-8d7d0b6f4af2
labour-force-participation-census-2001,eb5a6794-fec4-4015-9d28-1bbe53a160f6
language-census-2006,a5590703-bc60-42fe-856d-1ebb973acd59
language-census-2001,344a9c1a-02a3-4461-984f-81e68fb1cf43
labour-force-industry-national-household-survey-2011,69c43467-853c-42a9-9225-0adf4a631088
immigration-census-2001,5eacb1e3-a657-466f-88f7-8a0ccc497ffb
mother-tongue-census-2001,0624638d-0615-48d5-b310-9f0e57fd472d
marital-status-and-census-family-structure-census-2001,cb8e0d55-9d5e-434e-90e4-95869689a5fd
labour-force-participation-presence-children-census-2006-0,625d393a-a347-4b14-8131-43500d30f09c
individual-income-2010-national-household-survey-2011-0,7ee74219-03a8-4610-98b1-27163a508fda
